EventID,EventDateDisplayRange,Title,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite,Merge_Event,Merge_Name,Merge_Candidate
17402,"JULY 11-12, 2020",Genesee Valley Hunt,1,-77.8161,42.84355,Roots Tavern Rd and Nations Rd,GVHC - Nations Farm ,Geneseo,NY,14454.0,http://www.geneseevalleyhunt.org/,Genesee Valley Hunt,Genesee Valley Hunt,Needs Key Lookup
17341,"JULY 18-19, 2020",Hitching Post Farm  ,1,-72.563259,43.810049,2096 Back River Rd.,Hitching Post Farm,S. Royalton,VT,5068.0,http://www.hitchingpostfarm.com/,Hitching Post Farm  ,Hitching Post Farm  ,Sporting Days Farm Feb. HT
17534,"JULY 18-19, 2020",Course Brook Farm  ,1,-71.399742,42.252289000000005,39 Brush Hill Rd,Course Brook Farm,Sherborn,MA,1770.0,https://www.coursebrookfarm.com/usef-usea-horse-trials,Course Brook Farm  ,Course Brook Farm  ,Course Brook Farm Horse Trials
17414,"JULY 30 - AUGUST 2, 2020",Millbrook  ,1,-73.61338,41.861046,1031 Bangall-Amenia Rd,Riga Meadow at Coole Park,Millbrook,NY,12545.0,http://www.millbrookhorsetrials.com/,Millbrook  ,Millbrook  ,Millbrook H.T.(Aug 2019)
17421,"AUGUST 7-9, 2020",GMHA Festival of Eventing August  ,1,-72.539261,43.557084,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://gmhainc.org/,GMHA Festival of Eventing August  ,GMHA Festival of Eventing August  ,GMHA Festival of Eventing August Horse Trials(Aug 
17430,"AUGUST 15-16, 2020",Genesee Valley Riding,1,-77.787109,42.842808000000005,4222 Roots Tavern Road,Hideaway Farm,Geneseo,NY,14454.0,http://www.gvrdc.org/,Genesee Valley Riding,Genesee Valley Riding,Needs Key Lookup
17433,AUGUST 16,Huntington Farm  ,1,-72.354309,43.834476,130 Justin Morrill Hwy,Huntington Farm,South Strafford,VT,5070.0,http://www.area1usea.org,Huntington Farm  ,Huntington Farm  ,WindRidge Farm HT
17439,AUGUST 22,Town Hill Farm  ,1,-73.431159,41.936805,55 Lime Rock Rd (Rt. 112),Town Hill Farm,Lakeville,CT,6039.0,http://www.townhillfarm.com,Town Hill Farm  ,Town Hill Farm  ,Town Hill Farm Horse Trials(Aug 2020)
17377,AUGUST 30,Valinor Farm  ,1,-70.57220500000001,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.valinorfarm.com,Valinor Farm  ,Valinor Farm  ,Windridge Farm Fall HT
17442,SEPTEMBER 5,Course Brook  ,1,-71.399742,42.252289000000005,39 Brush Hill Rd,Course Brook Farm,Sherborn,MA,1770.0,https://coursebrookfarm.com/,Course Brook  ,Course Brook  ,Course Brook Farm Horse Trials
17457,"SEPTEMBER 12-13, 2020",GMHA September  ,1,-72.539261,43.557084,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org,GMHA September  ,GMHA September  ,GMHA September Horse Trials
17467,SEPTEMBER 19,Apple Knoll Farm  ,1,-70.57220500000001,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/,Apple Knoll Farm  ,Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020)
17475,"SEPTEMBER 26-27, 2020",Larkin Hill  ,1,-73.64431400000001,42.479085999999995,114 Woodward Rd,Larkin Hill Farm,Nassau,NY,12123.0,http://www.larkinhill.com,Larkin Hill  ,Larkin Hill  ,Larkin Hill HT
17473,"SEPTEMBER 26-27, 2020",University of New Hampshire  ,1,-70.943655,43.143771,UNH Equine Center 278 Mast Rd,UNH Equine Center,Durham,NH,3824.0,https://colsa.unh.edu/agriculture-nutrition-food-systems/horse-trials,University of New Hampshire  ,University of New Hampshire  ,Needs Key Lookup
17360,OCTOBER 4,Genesee Valley Riding,1,-77.787109,42.842808000000005,4222 Roots Tavern Road,Hideaway Farm,Geneseo,NY,14454.0,http://www.gvrdc.org/,Genesee Valley Riding,Genesee Valley Riding,Needs Key Lookup
17483,OCTOBER 4,Kent School Fall  ,1,-72.738304,41.573502000000005,30 Westwoods Rd.,Kent School,Kent,CT,6359.0,http://www.area1usea.org/Resources/Links/Kent/Kentpage.htm,Kent School Fall  ,Kent School Fall  ,Kent School Fall H.T.(Oct 2019)
17486,OCTOBER 10,Hitching Post Farm  ,1,-72.563259,43.810049,2096 Back River Rd.,Hitching Post Farm,S. Royalton,VT,5068.0,http://www.hitchingpostfarm.com/,Hitching Post Farm  ,Hitching Post Farm  ,Sporting Days Farm Feb. HT
17621,"APRIL 24-25, 2021",University of New Hampshire Spring  ,1,-70.939983,43.142417,288 Mast Road,UNH Equine Center,Durham,NH,3824.0,https://colsa.unh.edu/agriculture-nutrition-food-systems/horse-trials,University of New Hampshire Spring  ,University of New Hampshire Spring  ,Needs Key Lookup
17629,MAY 8,Apple Knoll Farm  ,1,-70.57220500000001,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/,Apple Knoll Farm  ,Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020)
17636,MAY 15,Hitching Post Farm  ,1,-72.563259,43.810049,2096 Back River Rd.,Hitching Post Farm,S. Royalton,VT,5068.0,http://www.hitchingpostfarm.com/,Hitching Post Farm  ,Hitching Post Farm  ,Sporting Days Farm Feb. HT
17652,MAY 29,Mystic Valley Hunt Club  ,1,-72.040755,41.404596999999995,645 Long Cove Rd,Mystic Valley Hunt Club,Gales Ferry,CA,6335.0,http://www.info@mvhchorse.com/,Mystic Valley Hunt Club  ,Mystic Valley Hunt Club  ,Fox River Valley Pony Club HT
17660,"JUNE 5-6, 2021",GMHA June  ,1,-72.539261,43.557084,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org,GMHA June  ,GMHA June  ,GMHA June Horse Trials
17659,JUNE 6,Genesee Valley Riding  ,1,-77.787109,42.842808000000005,4222 Roots Tavern Road,Hideaway Farm,Geneseo,NY,14454.0,http://www.gvrdc.org/,Genesee Valley Riding  ,Genesee Valley Riding  ,Needs Key Lookup
17672,JUNE 13,Valinor Farm   ,1,-70.57220500000001,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.valinorfarm.com,Valinor Farm   ,Valinor Farm   ,Valinor Farm Horse Trials(June 2019)
17680,JUNE 20,Kent School Spring   ,1,-72.738304,41.573502000000005,30 Westwoods Rd.,Kent School,Kent,CT,6359.0,https://area1usea.org/competitions/sanctioned-events/,Kent School Spring   ,Kent School Spring   ,Kent School Horse Trials
17683,"JUNE 25-27, 2021",Groton House Farm    ,1,-70.871843,42.648485,746 Highland St.,Groton House Farm,Hamilton,MA,1982.0,http://www.grotonhousefarm.com/,Groton House Farm    ,Groton House Farm    ,Groton House Farm Horse Trials
17694,"JULY 3-4, 2021",Larkin Hill    ,1,-73.64431400000001,42.479085999999995,114 Woodward Rd,Larkin Hill Farm,Nassau,NY,12123.0,http://www.larkinhill.com,Larkin Hill    ,Larkin Hill    ,Larkin Hill HT
17699,"JULY 10-11, 2021",Huntington Farm   ,1,-72.354309,43.834476,130 Justin Morrill Hwy,Huntington Farm,South Strafford,VT,5070.0,http://www.area1usea.org,Huntington Farm   ,Huntington Farm   ,WindRidge Farm HT
17704,"JULY 17-18, 2021",Genesee Valley Hunt   ,1,-77.8161,42.84355,Roots Tavern Rd and Nations Rd,GVHC - Nations Farm ,Geneseo,NY,14454.0,http://www.geneseevalleyhunt.org/,Genesee Valley Hunt   ,Genesee Valley Hunt   ,Needs Key Lookup
17712,"JULY 24-25, 2021",Course Brook Farm    ,1,-71.399742,42.252289000000005,39 Brush Hill Rd,Course Brook Farm,Sherborn,MA,1770.0,https://www.coursebrookfarm.com/usef-usea-horse-trials,Course Brook Farm    ,Course Brook Farm    ,Course Brook Farm Horse Trials
17716,"AUGUST 5-8, 2021",Millbrook   ,1,-73.61338,41.861046,1031 Bangall-Amenia Rd,Riga Meadow at Coole Park,Millbrook,NY,12545.0,http://www.millbrookhorsetrials.com/,Millbrook   ,Millbrook   ,Millbrook H.T.(Aug 2019)
17723,"AUGUST 13-15, 2021",GMHA Festival of Eventing August   ,1,-72.539261,43.557084,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://gmhainc.org/,GMHA Festival of Eventing August   ,GMHA Festival of Eventing August   ,GMHA Festival of Eventing August Horse Trials(Aug 
17728,"AUGUST 21-22, 2021",Genesee Valley Riding ,1,-77.787109,42.842808000000005,4222 Roots Tavern Road,Hideaway Farm,Geneseo,NY,14454.0,http://www.gvrdc.org/,Genesee Valley Riding ,Genesee Valley Riding ,Needs Key Lookup
17735,AUGUST 22,Huntington Farm   ,1,-72.354309,43.834476,130 Justin Morrill Hwy,Huntington Farm,South Strafford,VT,5070.0,http://www.area1usea.org,Huntington Farm   ,Huntington Farm   ,WindRidge Farm HT
17739,"AUGUST 28-29, 2021",Town Hill Farm  ,1,-73.431159,41.936805,55 Lime Rock Rd (Rt. 112),Town Hill Farm,Lakeville,CT,6039.0,http://www.townhillfarm.com,Town Hill Farm  ,Town Hill Farm  ,Town Hill Farm Horse Trials(Aug 2020)
17747,SEPTEMBER 4,Course Brook    ,1,-71.399742,42.252289000000005,39 Brush Hill Rd,Course Brook Farm,Sherborn,MA,1770.0,https://coursebrookfarm.com/,Course Brook    ,Course Brook    ,Course Brook Farm Horse Trials
17758,SEPTEMBER 18,Apple Knoll Farm  ,1,-70.57220500000001,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/,Apple Knoll Farm  ,Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020)
17759,"SEPTEMBER 18-19, 2021",GMHA ,1,-72.539261,43.557084,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org,GMHA ,GMHA ,Needs Key Lookup
17765,"SEPTEMBER 25-26, 2021",University of New Hampshire    ,1,-70.943655,43.143771,UNH Equine Center 278 Mast Rd,UNH Equine Center,Durham,NH,3824.0,https://colsa.unh.edu/agriculture-nutrition-food-systems/horse-trials,University of New Hampshire    ,University of New Hampshire    ,Needs Key Lookup
17767,SEPTEMBER 26,Larkin Hill  ,1,-73.64431400000001,42.479085999999995,114 Woodward Rd,Larkin Hill Farm,Nassau,NY,12123.0,http://www.larkinhill.com,Larkin Hill  ,Larkin Hill  ,Larkin Hill HT
17785,OCTOBER 9,Hitching Post Farm    ,1,-72.563259,43.810049,2096 Back River Rd.,Hitching Post Farm,S. Royalton,VT,5068.0,http://www.hitchingpostfarm.com/,Hitching Post Farm    ,Hitching Post Farm    ,Sporting Days Farm Feb. HT
17782,OCTOBER 10,Kent School Fall   ,1,-72.738304,41.573502000000005,30 Westwoods Rd.,Kent School,Kent,CT,6359.0,http://www.area1usea.org/Resources/Links/Kent/Kentpage.htm,Kent School Fall   ,Kent School Fall   ,Kent School Fall H.T.(Oct 2019)
17293,"MARCH 7-8, 2020",Southern Pines   ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/,Southern Pines   ,Southern Pines   ,Southern Pines Horse Trials - CHP (Mar 2020)
17301,"MARCH 18-22, 2020",Carolina International CCI and  ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinainternationalcic.com/,Carolina International CCI and  ,Carolina International CCI and  ,Fair Hill International CCI****/***
17308,"APRIL 4-5, 2020",The Fork at TIEC ,2,-82.066895,35.282646,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756.0,http://www.tryon.com,The Fork at TIEC ,The Fork at TIEC ,The Fork at Tryon (April 2019)
17312,APRIL 5,CDCTA Spring  ,2,-78.007442,39.170320200000006,929 Kimble Road,CDCTA Eventing Facility,Berryville,VA,22611.0,http://www.cdcta.com/,CDCTA Spring  ,CDCTA Spring  ,Needs Key Lookup
17315,"APRIL 10-12, 2020",Fair Hill International April   and CCI-S,2,-75.860126,39.701706,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://www.fairhillinternational.org,Fair Hill International April   and CCI-S,Fair Hill International April   and CCI-S,Fair Hill International April Horse Trials
17529,APRIL 12,USEA MDHT FEH/YEH/NEH Qualifier,2,-77.429489,39.270748,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com,USEA MDHT FEH/YEH/NEH Qualifier,USEA MDHT FEH/YEH/NEH Qualifier,Needs Key Lookup
17321,"APRIL 18-19, 2020",Plantation Field April  ,2,-75.787444,39.908737,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://www.plantationfield.com,Plantation Field April  ,Plantation Field April  ,Plantation Field May HT
17320,"APRIL 18-19, 2020",Longleaf Pine  ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/,Longleaf Pine  ,Longleaf Pine  ,Long Leaf Pine Horse Trials - CHP
17325,"APRIL 25-26, 2020",Loudoun Hunt Pony Club Spring  ,2,-77.555274,39.145424,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,https://loudounhunt.ponyclub.org/pages/334.aspx,Loudoun Hunt Pony Club Spring  ,Loudoun Hunt Pony Club Spring  ,Loudoun Hunt Pony Club Summer H.T.
17329,"MAY 2-3, 2020","MCTA  , Inc",2,-76.695723,39.496716,1401 Shawan Rd.,Shawan Downs,Cockeysville,MD,21030.0,http://www.mdcta.com/,"MCTA  , Inc","MCTA  , Inc","MCTA H.T., Inc(May 2019)"
17331,"MAY 6-10, 2020",Jersey Fresh International Three-day Event,2,-74.498207,40.193207,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.jfi3d.com,Jersey Fresh International Three-day Event,Jersey Fresh International Three-day Event,Jersey Fresh International Three-day Event
17340,"MAY 9-10, 2020",WindRidge Farm  ,2,-81.828506,35.227467,882 Goodes Creek Church Rd,Windridge Farm,Mooresboro,NC,28114.0,http://www.WindridgeFarmsNC.com,WindRidge Farm  ,WindRidge Farm  ,WindRidge Farm HT
17336,MAY 9,Plantation Field May  ,2,-75.787444,39.908737,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://www.plantationfield.com,Plantation Field May  ,Plantation Field May  ,Plantation Field May HT
17344,"MAY 16-17, 2020",Fair Hill International  ,2,-75.860126,39.701706,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://www.fairhillinternational.org,Fair Hill International  ,Fair Hill International  ,Fair Hill International CCI****/***
17352,"MAY 23-24, 2020",Flora Lea Spring  ,2,-74.814918,39.896675,21 Branin Rd.,Flora Lea Farm,Medford,NJ,8055.0,http://floraleafarm.com,Flora Lea Spring  ,Flora Lea Spring  ,Flora Lea Spring Horse Trials
17530,MAY 24,USEA MDHT FEH/YEH/NEH Qualifier,2,-77.429489,39.270748,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com,USEA MDHT FEH/YEH/NEH Qualifier,USEA MDHT FEH/YEH/NEH Qualifier,Needs Key Lookup
17361,MAY 31,NJ Region's  ,2,-74.498207,40.193207,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,https://www.njregionponyclub.org/nj-regions-horse-trials--5-31-2020.html,NJ Region's  ,NJ Region's  ,NJ Region's H.T.(June 2019)
17364,"JUNE 5-6, 2020",Plantation Field  ,2,-75.787444,39.908737,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://www.Plantationfield.com,Plantation Field  ,Plantation Field  ,Plantation Field May HT
17365,"JUNE 6-7, 2020",The Middleburg  ,2,-77.736947,38.990605,36800 Glenwood Park Lane,Glenwood Park,Middleburg,VA,20117.0,http://www.mocpony.club,The Middleburg  ,The Middleburg  ,Needs Key Lookup
17373,"JUNE 12-14, 2020",Seneca Valley Pony Club Spring  ,2,-77.360199,39.091164,14401B Partnership Rd,Seneca - Bittersweet Field,Poolesville,MD,20837.0,http://www.senecavalleyponyclub.org/,Seneca Valley Pony Club Spring  ,Seneca Valley Pony Club Spring  ,Fox River Valley Pony Club HT
17359,JUNE 13,Waredaca  ,2,-77.080605,39.233318,4015 Damascus Rd,Waredaca Equestrian Facility,Laytonsville,MD,20882.0,http://www.waredaca.com,Waredaca  ,Waredaca  ,Waredaca Farm August HT
17545,JUNE 14,War Horse Event Series June  ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/,War Horse Event Series June  ,War Horse Event Series June  ,War Horse Event Series (June 2020)
17374,JUNE 14,Bucks County Horse Park  ,2,-75.17031,40.516807,8934 Easton Rd.,Bucks County Horse Park,Revere,PA,18953.0,http://www.buckscountyhorsepark.org/,Bucks County Horse Park  ,Bucks County Horse Park  ,Texas Rose Horse Park Fall HT
17380,"JUNE 19-21, 2020",Surefire Farm  ,2,-77.741661,39.056019,Jeb Stuart Rd,Surefire Farm,Purcellville,VA,20132.0,http://www.surefireeventing.com/,Surefire Farm  ,Surefire Farm  ,Surefire Farm Horse Trials 
17536,JUNE 21,Flora Lea Farm YEH and Mini Event  ,2,-74.814918,39.896675,21 Branin Rd.,Flora Lea Farm,Medford,NJ,8055.0,http://floraleafarm.com,Flora Lea Farm YEH and Mini Event  ,Flora Lea Farm YEH and Mini Event  ,Needs Key Lookup
17385,"JUNE 27-28, 2020",Horse Park of New Jersey   I,2,-74.498207,40.193207,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.horseparkofnewjersey.com,Horse Park of New Jersey   I,Horse Park of New Jersey   I,Horse Park of New Jersey H.T. I
17391,"JUNE 27-28, 2020",Loudoun Hunt Pony Club Summer  ,2,-77.555274,39.145424,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,https://loudounhunt.ponyclub.org/pages/542.aspx,Loudoun Hunt Pony Club Summer  ,Loudoun Hunt Pony Club Summer  ,Loudoun Hunt Pony Club Summer H.T.
17395,"JULY 3-5, 2020",The Maryland International +  ,2,-77.429489,39.270748,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com/,The Maryland International +  ,The Maryland International +  ,The Maryland International + H.T.(Jul 2019)
17400,"JULY 10-12, 2020",The Maryland   at Loch Moy Farm II,2,-77.429489,39.270748,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com/,The Maryland   at Loch Moy Farm II,The Maryland   at Loch Moy Farm II,Maryland H.T. at Loch Moy Farm II(Jul 2020)
17546,JULY 12,War Horse Event Series July  ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/,War Horse Event Series July  ,War Horse Event Series July  ,War Horse Event Series (July 2020)
17407,"JULY 17-19, 2020",Essex  ,2,-74.6361311,40.6847539,50 US Highway 202,Moorland Farm,Far Hills,NJ,7931.0,http://www.essexhorsetrials.org,Essex  ,Essex  ,Essex Horse Trials
17409,"JULY 18-19, 2020",Full Moon Farms  ,2,-76.913864,39.457195,4326 Louisville Rd,Full Moon Farm,Finksburg,MD,21048.0,http://fullmoonfarm.com/,Full Moon Farms  ,Full Moon Farms  ,Full Moon Farms H.T.(Jul)
17346,"JULY 20-24, 2020",VHT International ,2,-79.424185,37.809507,487 Maury River Rd,The Virginia Horse Center,Lexington,VA,24435.0,http://www.vahorsetrials.com/,VHT International ,VHT International ,The VHT International H.T.(Oct 2019)
17412,"JULY 24-26, 2020",Horse Park of New Jersey,2,-74.498207,40.193207,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.horseparkofnewjersey.com,Horse Park of New Jersey,Horse Park of New Jersey,Horse Park of New Jersey H.T. I
17413,JULY 25,Hunt Club Farms  ,2,-78.036232,39.191025,294 Longmarsh Rd,Hunt Club Farms,Berryville,VA,22611.0,http://www.huntclubfarms.net,Hunt Club Farms  ,Hunt Club Farms  ,Hunt Club Farm Starter HT
17544,"AUGUST 1-3, 2020",TEST Event Push Notification 1,2,-78.007442,39.170320200000006,929 Kimble Road,CDCTA Eventing Facility,Berryville,VA,22611.0,,TEST Event Push Notification 1,TEST Event Push Notification 1,Needs Key Lookup
17420,AUGUST 2,Olney Farm  ,2,-76.371651,39.477309999999996,1001 Old Joppa Road,Olney Farm,Joppa,MD,21085.0,http://www.olneyfarm.com,Olney Farm  ,Olney Farm  ,Olney Farm Horse Trials
17303,AUGUST 3,USEA APP Push event TEST 3,2,-78.007442,39.170320200000006,929 Kimble Road,CDCTA Eventing Facility,Berryville,VA,22611.0,www.useventing.com,USEA APP Push event TEST 3,USEA APP Push event TEST 3,Needs Key Lookup
17426,"AUGUST 7-9, 2020",Fair Hill International  ,2,-75.860126,39.701706,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://fairhillinternational.org/,Fair Hill International  ,Fair Hill International  ,Fair Hill International CCI****/***
17428,"AUGUST 8-9, 2020",WindRidge Farm Summer  ,2,-81.828506,35.227467,882 Goodes Creek Church Rd,Windridge Farm,Mooresboro,NC,28114.0,http://www.WindridgeFarmsNC.com,WindRidge Farm Summer  ,WindRidge Farm Summer  ,Windridge Farm Summer HT
17432,"AUGUST 15-16, 2020",Waredaca Farm  ,2,-77.080605,39.233318,4015 Damascus Rd,Waredaca Equestrian Facility,Laytonsville,MD,20882.0,http://www.waredaca.com,Waredaca Farm  ,Waredaca Farm  ,Waredaca Farm August HT
17435,"AUGUST 20-23, 2020",Great Meadow International ,2,-77.809738,38.828873,5089 Old Tavern Road,Great Meadow Horse Park,The Plains,VA,20198.0,http://www.greatmeadowinternational.com,Great Meadow International ,Great Meadow International ,Plantation Field International
17547,AUGUST 23,War Horse Event Series August  ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/,War Horse Event Series August  ,War Horse Event Series August  ,War Horse Event Series (August 2019)
17537,AUGUST 23,Flora Lea Farm YEH  and Mini Event,2,-74.814918,39.896675,21 Branin Rd.,Flora Lea Farm,Medford,NJ,8055.0,http://floraleafarm.com,Flora Lea Farm YEH  and Mini Event,Flora Lea Farm YEH  and Mini Event,Needs Key Lookup
17448,"SEPTEMBER 5-6, 2020",Five Points  ,2,-79.366325,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com,Five Points  ,Five Points  ,Five Points Horse Trials
17449,"SEPTEMBER 5-6, 2020",Seneca Valley Pony Club  ,2,-77.360199,39.091164,14401B Partnership Rd,Seneca - Bittersweet Field,Poolesville,MD,20837.0,http://www.senecavalleyponyclub.org,Seneca Valley Pony Club  ,Seneca Valley Pony Club  ,Fox River Valley Pony Club HT
17450,SEPTEMBER 6,Bucks County Horse Park  ,2,-75.17031,40.516807,8934 Easton Rd.,Bucks County Horse Park,Revere,PA,18953.0,http://www.buckscountyhorsepark.org,Bucks County Horse Park  ,Bucks County Horse Park  ,Texas Rose Horse Park Fall HT
17455,"SEPTEMBER 11-13, 2020",Blue Ridge Mountain   at TIEC,2,-82.066895,35.282646,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756.0,http://www.tryon.com,Blue Ridge Mountain   at TIEC,Blue Ridge Mountain   at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2020)
17456,"SEPTEMBER 12-13, 2020",Flora Lea Fall   ,2,-74.814918,39.896675,21 Branin Rd.,Flora Lea Farm,Medford,NJ,8055.0,http://www.floraleafarm.com,Flora Lea Fall   ,Flora Lea Fall   ,Flora Lea Fall H.T. (Sep 2020)
17451,SEPTEMBER 13,USEA MDHT FEH/YEH/NEH Qualifier,2,-77.429489,39.270748,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com,USEA MDHT FEH/YEH/NEH Qualifier,USEA MDHT FEH/YEH/NEH Qualifier,Needs Key Lookup
17460,SEPTEMBER 13,CDCTA Fall   ,2,-78.007442,39.170320200000006,929 Kimble Road,CDCTA Eventing Facility,Berryville,VA,22611.0,https://cdcta.com/,CDCTA Fall   ,CDCTA Fall   ,Needs Key Lookup
17461,"SEPTEMBER 16-20, 2020",Plantation Field International CCI-S,2,-75.787444,39.908737,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://plantationfield.com,Plantation Field International CCI-S,Plantation Field International CCI-S,Plantation Field International
17466,SEPTEMBER 20,Marlborough H.T,2,-76.77887,38.779716,Rosaryville State Park,Rosaryville State Park,Upper Marlboro,MD,20772.0,http://www.marlboroughhorsetrials.org,Marlborough H.T,Marlborough H.T,Marlborough Starter H.T.
